geo,life_expectancy_years,time
afg,28.21,1800
afg,28.2,1801
afg,28.19,1802
afg,28.18,1803
afg,28.17,1804
afg,28.16,1805
afg,28.15,1806
afg,28.14,1807
afg,28.13,1808
afg,28.12,1809
afg,28.11,1810
afg,28.1,1811
afg,28.09,1812
afg,28.08,1813
afg,28.07,1814
afg,28.06,1815
afg,28.05,1816
afg,28.04,1817
afg,28.03,1818
afg,28.02,1819
afg,28.01,1820
afg,28,1821
afg,27.99,1822
afg,27.98,1823
afg,27.97,1824
afg,27.95,1825
afg,27.94,1826
afg,27.93,1827
afg,27.92,1828
afg,27.91,1829
afg,27.9,1830
afg,27.89,1831
afg,27.88,1832
afg,27.87,1833
afg,27.86,1834
afg,27.85,1835
afg,27.84,1836
afg,27.83,1837
afg,27.82,1838
afg,27.81,1839
afg,27.8,1840
afg,27.79,1841
afg,27.78,1842
afg,27.77,1843
afg,27.76,1844
afg,27.75,1845
afg,27.74,1846
afg,27.73,1847
afg,27.72,1848
afg,27.71,1849
afg,27.7,1850
afg,27.69,1851
afg,27.68,1852
afg,27.67,1853
afg,27.66,1854
afg,27.65,1855
afg,27.64,1856
afg,27.63,1857
afg,27.62,1858
afg,27.61,1859
afg,27.6,1860
afg,27.59,1861
afg,27.58,1862
afg,27.57,1863
afg,27.56,1864
afg,27.54,1865
afg,27.53,1866
afg,27.52,1867
afg,27.51,1868
afg,27.5,1869
afg,27.49,1870
afg,27.48,1871
afg,27.47,1872
afg,27.46,1873
afg,27.45,1874
afg,27.44,1875
afg,27.43,1876
afg,27.42,1877
afg,27.41,1878
afg,27.4,1879
afg,27.39,1880
afg,27.38,1881
afg,27.37,1882
afg,27.36,1883
afg,27.35,1884
afg,27.34,1885
afg,27.33,1886
afg,27.32,1887
afg,27.31,1888
afg,27.3,1889
afg,27.29,1890
afg,27.28,1891
afg,27.27,1892
afg,27.26,1893
afg,27.25,1894
afg,27.24,1895
afg,27.23,1896
afg,27.22,1897
afg,27.21,1898
afg,27.2,1899
afg,27.19,1900
afg,27.18,1901
afg,27.17,1902
afg,27.16,1903
afg,27.15,1904
afg,27.14,1905
afg,27.12,1906
afg,27.11,1907
afg,27.1,1908
afg,27.09,1909
afg,27.08,1910
afg,27.07,1911
afg,27.06,1912
afg,27.05,1913
afg,27.04,1914
afg,27.03,1915
afg,27.02,1916
afg,27.01,1917
afg,7.045,1918
afg,26.99,1919
afg,26.98,1920
afg,27.07,1921
afg,27.17,1922
afg,27.26,1923
afg,27.35,1924
afg,27.44,1925
afg,27.54,1926
afg,27.63,1927
afg,27.72,1928
afg,27.81,1929
afg,27.91,1930
afg,28,1931
afg,28.09,1932
afg,28.18,1933
afg,28.28,1934
afg,28.37,1935
afg,28.46,1936
afg,28.55,1937
afg,28.65,1938
afg,28.74,1939
afg,28.83,1940
afg,28.92,1941
afg,29.02,1942
afg,29.11,1943
afg,29.2,1944
afg,29.29,1945
afg,29.39,1946
afg,29.48,1947
afg,29.57,1948
afg,29.66,1949
afg,29.76,1950
afg,30.12,1951
afg,30.74,1952
afg,31.35,1953
afg,31.97,1954
afg,32.59,1955
afg,33.21,1956
afg,33.83,1957
afg,34.45,1958
afg,35.07,1959
afg,35.68,1960
afg,36.3,1961
afg,36.92,1962
afg,37.54,1963
afg,38.16,1964
afg,38.78,1965
afg,39.39,1966
afg,40,1967
afg,40.61,1968
afg,41.21,1969
afg,41.8,1970
afg,42.2,1971
afg,42.6,1972
afg,43,1973
afg,43.5,1974
afg,44,1975
afg,44.5,1976
afg,45,1977
afg,44.3,1978
afg,43.5,1979
afg,43.5,1980
afg,44.3,1981
afg,44.2,1982
afg,43,1983
afg,41.3,1984
afg,42.8,1985
afg,43.5,1986
afg,45.2,1987
afg,46.9,1988
afg,50.2,1989
afg,50.3,1990
afg,50.2,1991
afg,50.4,1992
afg,50.5,1993
afg,50.1,1994
afg,50.4,1995
afg,50.6,1996
afg,50.7,1997
afg,50,1998
afg,50.8,1999
